,ts_code,signal_count,win_rate%,major_drawback%,avg%
281,603833.SH,20,55.0,-10.55,2.7
282,603882.SH,16,50.0,-24.24,3.23
283,603899.SH,11,100.0,0.0,15.55
284,603986.SH,22,18.18,-37.0,-22.05
285,603993.SH,11,18.18,-15.6,-8.93
286,605499.SH,16,81.25,-5.37,14.54
287,688005.SH,16,0.0,-48.89,-42.4
288,688008.SH,16,31.25,-15.81,-3.86
289,688012.SH,20,0.0,-37.48,-20.72
290,688036.SH,16,37.5,-54.01,-29.36
291,688065.SH,5,0.0,-62.71,-57.39
292,688111.SH,11,100.0,0.0,31.65
293,688126.SH,16,0.0,-39.53,-23.44
294,688169.SH,12,0.0,-70.02,-63.76
295,688363.SH,25,44.0,-7.5,0.87
296,688396.SH,20,30.0,-26.89,-6.26
297,688561.SH,14,21.43,-30.63,-15.28
298,688599.SH,24,66.67,-16.75,6.49
299,688981.SH,15,33.33,-27.17,-7.15
