,ts_code,signal_count,win_rate%,major_drawback%,avg%
231,601658.SH,37,29.73,-14.06,-4.49
232,601668.SH,33,84.85,-4.9,5.33
233,601669.SH,54,50.0,-13.42,33.07
234,601688.SH,24,0.0,-42.32,-25.46
235,601698.SH,37,27.03,-49.29,-19.83
236,601728.SH,10,90.0,0.0,6.79
237,601766.SH,34,8.82,-18.52,-12.66
238,601788.SH,29,37.93,-21.45,-2.93
239,601799.SH,48,0.0,-38.48,-25.6
240,601800.SH,36,52.78,-19.74,1.74
241,601808.SH,34,94.12,-1.45,16.0
242,601816.SH,31,29.03,-23.61,-7.47
243,601818.SH,23,4.35,-27.21,-18.78
244,601825.SH,10,60.0,-9.2,-1.36
245,601838.SH,36,72.22,-11.4,20.49
246,601857.SH,23,34.78,-14.9,-0.81
247,601865.SH,31,16.13,-27.84,-10.25
248,601868.SH,12,33.33,-19.01,-4.23
249,601877.SH,30,10.0,-42.76,-16.02
250,601878.SH,54,1.85,-39.32,-17.5
251,601881.SH,40,10.0,-25.91,-13.56
252,601888.SH,30,66.67,-25.76,7.53
253,601898.SH,46,76.09,-8.22,54.64
254,601899.SH,26,92.31,-2.79,10.98
255,601901.SH,38,5.26,-36.33,-20.93
256,601916.SH,18,0.0,-30.95,-25.43
257,601919.SH,23,4.35,-53.76,-40.86
258,601939.SH,33,15.15,-19.43,-9.09
259,601966.SH,26,26.92,-57.58,-27.9
260,601985.SH,30,66.67,-25.19,12.1
261,601988.SH,16,18.75,-4.78,-0.68
262,601989.SH,37,0.0,-25.48,-14.36
263,601995.SH,42,9.52,-40.09,-16.43
264,601998.SH,49,51.02,-6.67,2.72
265,603019.SH,23,0.0,-51.25,-22.74
266,603087.SH,13,0.0,-83.7,-76.65
267,603160.SH,18,0.0,-71.64,-53.38
268,603185.SH,20,10.0,-33.68,-11.76
269,603195.SH,46,54.35,-30.76,-2.42
270,603259.SH,29,13.79,-43.38,-25.99
271,603260.SH,27,33.33,-43.83,33.12
272,603288.SH,18,22.22,-53.23,-22.5
273,603290.SH,41,51.22,-16.02,25.81
274,603369.SH,48,97.92,-3.1,18.04
275,603392.SH,39,2.56,-51.69,-36.17
276,603486.SH,21,9.52,-58.99,-45.62
277,603501.SH,27,0.0,-72.89,-65.32
278,603659.SH,23,0.0,-62.19,-49.96
279,603799.SH,33,15.15,-50.57,-19.56
280,603806.SH,38,23.68,-44.79,-21.91
281,603833.SH,51,41.18,-20.8,-2.2
282,603882.SH,33,24.24,-44.83,-16.56
283,603899.SH,20,55.0,-41.09,-6.95
284,603986.SH,48,8.33,-49.67,-33.31
285,603993.SH,34,14.71,-25.08,-10.21
286,605499.SH,22,59.09,-23.85,7.13
287,688005.SH,31,25.81,-48.89,-14.15
288,688008.SH,28,28.57,-29.64,-8.67
289,688012.SH,35,0.0,-54.53,-27.38
290,688036.SH,37,16.22,-57.43,-42.1
291,688065.SH,9,0.0,-62.71,-45.9
292,688111.SH,35,31.43,-32.99,-3.26
293,688126.SH,41,0.0,-58.92,-34.54
294,688169.SH,28,0.0,-78.54,-65.59
295,688363.SH,42,35.71,-40.71,-3.02
296,688396.SH,40,25.0,-26.89,-6.71
297,688561.SH,35,8.57,-43.68,-28.03
298,688599.SH,38,78.95,-16.75,115.46
299,688981.SH,34,14.71,-36.65,-19.45
